sweep_id,benchmark,metric_name,left_decoder_label,right_decoder_label,num_examples,mean_score_delta,median_score_delta,win_rate,tie_rate,loss_rate
,truthfulqa,mc1,always_contrast_frozen,always_contrast_update1,50,0.0,0.0,0.02,0.96,0.02
,truthfulqa,mc1,always_contrast_frozen,always_contrast_update2,50,0.02,0.0,0.04,0.94,0.02
,truthfulqa,mc1,always_contrast_frozen,always_contrast_update4,50,0.0,0.0,0.02,0.96,0.02
,truthfulqa,mc1,always_contrast_frozen,always_contrast_update8,50,-0.02,0.0,0.0,0.98,0.02
,truthfulqa,mc1,always_contrast_update1,always_contrast_frozen,50,0.0,0.0,0.02,0.96,0.02
,truthfulqa,mc1,always_contrast_update1,always_contrast_update2,50,0.02,0.0,0.02,0.98,0.0
,truthfulqa,mc1,always_contrast_update1,always_contrast_update4,50,0.0,0.0,0.0,1.0,0.0
,truthfulqa,mc1,always_contrast_update1,always_contrast_update8,50,-0.02,0.0,0.0,0.98,0.02
,truthfulqa,mc1,always_contrast_update2,always_contrast_frozen,50,-0.02,0.0,0.02,0.94,0.04
,truthfulqa,mc1,always_contrast_update2,always_contrast_update1,50,-0.02,0.0,0.0,0.98,0.02
,truthfulqa,mc1,always_contrast_update2,always_contrast_update4,50,-0.02,0.0,0.0,0.98,0.02
,truthfulqa,mc1,always_contrast_update2,always_contrast_update8,50,-0.04,0.0,0.0,0.96,0.04
,truthfulqa,mc1,always_contrast_update4,always_contrast_frozen,50,0.0,0.0,0.02,0.96,0.02
,truthfulqa,mc1,always_contrast_update4,always_contrast_update1,50,0.0,0.0,0.0,1.0,0.0
,truthfulqa,mc1,always_contrast_update4,always_contrast_update2,50,0.02,0.0,0.02,0.98,0.0
,truthfulqa,mc1,always_contrast_update4,always_contrast_update8,50,-0.02,0.0,0.0,0.98,0.02
,truthfulqa,mc1,always_contrast_update8,always_contrast_frozen,50,0.02,0.0,0.02,0.98,0.0
,truthfulqa,mc1,always_contrast_update8,always_contrast_update1,50,0.02,0.0,0.02,0.98,0.0
,truthfulqa,mc1,always_contrast_update8,always_contrast_update2,50,0.04,0.0,0.04,0.96,0.0
,truthfulqa,mc1,always_contrast_update8,always_contrast_update4,50,0.02,0.0,0.02,0.98,0.0
,truthfulqa,mc2,always_contrast_frozen,always_contrast_update1,50,-0.016332099206983842,1.0887942978478481e-14,0.5,0.0,0.5
,truthfulqa,mc2,always_contrast_frozen,always_contrast_update2,50,-0.009174602445577256,1.0057034722035841e-14,0.54,0.02,0.44
,truthfulqa,mc2,always_contrast_frozen,always_contrast_update4,50,0.004304133856334605,-2.5861595933459674e-25,0.48,0.02,0.5
,truthfulqa,mc2,always_contrast_frozen,always_contrast_update8,50,-0.011807887892274334,0.0,0.46,0.12,0.42
,truthfulqa,mc2,always_contrast_update1,always_contrast_frozen,50,0.016332099206983842,-1.0887942978478481e-14,0.5,0.0,0.5
,truthfulqa,mc2,always_contrast_update1,always_contrast_update2,50,0.00715749676140659,1.0263734818147746e-22,0.5,0.02,0.48
,truthfulqa,mc2,always_contrast_update1,always_contrast_update4,50,0.02063623306331845,-2.567491942072697e-14,0.48,0.0,0.52
,truthfulqa,mc2,always_contrast_update1,always_contrast_update8,50,0.004524211314709511,-7.428647396144244e-15,0.46,0.02,0.52
,truthfulqa,mc2,always_contrast_update2,always_contrast_frozen,50,0.009174602445577256,-1.0057034722035841e-14,0.44,0.02,0.54
,truthfulqa,mc2,always_contrast_update2,always_contrast_update1,50,-0.00715749676140659,-1.0263734818147746e-22,0.48,0.02,0.5
,truthfulqa,mc2,always_contrast_update2,always_contrast_update4,50,0.013478736301911858,-1.9710051013613097e-17,0.48,0.02,0.5
,truthfulqa,mc2,always_contrast_update2,always_contrast_update8,50,-0.0026332854466970773,-3.868230533591608e-15,0.44,0.02,0.54
,truthfulqa,mc2,always_contrast_update4,always_contrast_frozen,50,-0.004304133856334605,2.5861595933459674e-25,0.5,0.02,0.48
,truthfulqa,mc2,always_contrast_update4,always_contrast_update1,50,-0.02063623306331845,2.567491942072697e-14,0.52,0.0,0.48
,truthfulqa,mc2,always_contrast_update4,always_contrast_update2,50,-0.013478736301911858,1.9710051013613097e-17,0.5,0.02,0.48
